image_id,question,question_id,question_type,answer_type,multiple_choice_answer,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,explanation_1,explanation_2,explanation_3,prediction,prediction_explanation_w_pred,prediction_explanation_1_w_gt,prediction_explanation_2_w_gt,prediction_explanation_3_w_gt
144706,Is it raining?,144706002,is it,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'no')","('yes', 'yes')","('yes', 'yes')",raindrops are covering the entire scene,Drops of water are covering the scene.,It is wet and there are water drops on the window.,Yes,The rain is falling on the traffic light.,The camera is looking out of a car window and it is raining.,The camera is looking out a window and it is raining.,The rain is falling on the traffic light.
505169,Is that a chain shower curtain?,505169000,is that a,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'maybe')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')",there are chains hanging from a curtain rod,there are shower handles present.,there are chains hanging down from the railing,No,The shower curtain is a regular curtain.,The shower curtain is a chain.,The shower curtain is made of chains.,The shower curtain is made of chains.
82042,Is the animal full grown?,82042005,is the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')",The black and white cat appears to be an adult.,"There is a cat on the bed, no a kitten.",cats are relatively small when full grown,Yes,The cat is a full grown animal.,The cat is laying on a bed next to a stuffed duck.,The cat is a full grown adult.,The cat is a full grown animal.
150872,Is the man young?,150872001,is the man,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",the man has grey/silver hair.,he has grey hair and is wrinkled.,his hair is very gray.,No,The man is flying a kite at the beach.,The man is flying a kite on the beach.,The man is flying a kite on the beach.,The man is flying a kite at the beach.
41638,Is the person a male or female?,41638002,is the person,other,female,"('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')","('female', 'yes')",the have feminine features and long hair,she has long blonde hair and a pretty smile.,this person has famine look to her face and hair.,female,The person is a woman.,The person is a woman.,The person is a woman.,The person is a woman.
180653,Is the woman afraid to be alone?,180653002,is the woman,yes/no,no,"('yes', 'maybe')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'maybe')","('no', 'maybe')","('no', 'yes')","('no', 'maybe')","('no', 'yes')","('no', 'yes')",she is prepared for the wilderness.,she is brave and skiing in the mountains,she seems to be smiling and happy.,No,The woman is with a man.,The woman is with a man.,The woman is skiing with a man.,The woman is with a man.
182417,Is this healthy?,182417004,is this,yes/no,no,"('yes', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",ice cream is full of calories,"it's a dessert, with ice cream and lots of sugar.",it is a sugary dessert topped with ice cream.,No,The dessert is on a plate with a spoon and fork.,The dessert is a sweet treat that is not healthy.,The dessert is on a plate and there is a spoon and fork.,The dessert is on a plate with a spoon and fork.
89027,Is this a social event?,89027001,is this a,yes/no,yes,"('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('no', 'maybe')","('yes', 'yes')","('no', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",there are people of all ages playing together.,there are young and old people playing soccer.,there are a lot of people playing soccer.,Yes,The people are playing soccer in a field.,The kids are playing soccer with other kids.,The kids are playing soccer in a park.,The people are playing soccer in a field.
74853,Is this an event?,74853003,is this an,yes/no,yes,"('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",people are watching the athletes and taking pictures.,people are gather around watching,there are people watching a man skateboard.,Yes,The skateboarder is doing tricks on a rail.,The skateboarder is doing tricks on a rail.,The skateboarder is doing tricks on a rail.,The skateboarder is doing tricks on a rail.
368367,Is this person happy?,368367005,is this person,yes/no,yes,"('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",she is smiling right now.,she has a big smile on her face,they are smiling very large.,Yes,The woman is talking on a cell phone at a restaurant.,The woman is talking on a cell phone.,The woman is talking on a cell phone while sitting at a table.,The woman is talking on a cell phone at a restaurant.
256575,Would a vegetarian eat this?,256575000,none of the above,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",A dish of raw vegetables and fruit is perfect for a vegetarian.,there is no meat and plenty of fruit and vegetables,it is all vegetables and fruit,Yes,The food is all vegetables.,The food is all vegetables.,The plate is full of vegetables and fruit.,The food is all vegetables.
554255,What season is it?,554255000,what,other,summer,"('spring', 'maybe')","('spring', 'yes')","('summer', 'maybe')","('summer', 'yes')","('summer', 'yes')","('summer', 'yes')","('summer', 'yes')","('summer', 'yes')","('summer', 'yes')","('summer', 'yes')",everyone is wearing shorts and short sleeved shirts,it is very bright outside and the trees are full of leaves.,the color of the leaves is green,It is summer,It is a sunny day.,The people are playing tennis on a sunny day.,It is a sunny day.,It is a sunny day.
353149,What animal is this?,353149001,what animal is,other,cat,"('cat', 'yes')","('cat', 'yes')","('cat', 'yes')","('cat', 'yes')","('cat', 'yes')","('cat', 'yes')","('cat', 'yes')","('cat', 'yes')","('cat', 'yes')","('cat', 'yes')","it is furry, has pointed ears, and a long tail.",it has a long tail and whiskers.,"it has four legs, a long tail, and resembles a tiger.",cat,The cat is sitting on a bench in the woods.,The cat is sitting on a bench.,The cat is sitting on a bench in a wooded area.,The cat is sitting on a bench in the woods.
146457,What are they making?,146457001,what are,other,pizza,"('pizza', 'yes')","('pizza', 'yes')","('pizza', 'yes')","('pizza', 'yes')","('pizza', 'yes')","('pizza', 'yes')","('pizza', 'yes')","('pizza', 'yes')","('pizza', 'yes')","('pizza', 'yes')",dough is stretched out on the pan,"there is pizza crust, tomato sauce, and cheese on a silver tray.",they are putting cheese on rolled out dough,pizza,The kids are making pizzas in the kitchen.,The kids are making pizzas in the kitchen.,The children are making pizzas in a kitchen.,The kids are making pizzas in the kitchen.
116083,What are the people doing?,116083004,what are the,other,walking,"('walking', 'yes')","('walking', 'yes')","('walking', 'yes')","('walking', 'yes')","('walking', 'yes')","('fleeing', 'yes')","('evacuating', 'yes')","('walking', 'yes')","('walking', 'yes')","('walking', 'yes')",There are no buses or taxis to transport the people.,Their legs are forward and feet are not touching the ground.,they are headed across the street,Walking down the street,The people are walking down the street with their luggage and bags.,The people are walking down a street.,The people are walking down the street.,The people are walking down the street.
119026,What brand of phone is this?,119026001,what brand,other,lg,"('lg', 'yes')","('lg', 'yes')","('flip phone', 'maybe')","('lg', 'yes')","('lg', 'yes')","('lg', 'yes')","('lg', 'yes')","('lg', 'no')","('lg', 'yes')","('lg', 'yes')",the logo is on the top.,the logo is on the phone.,the logo is visible across the phone.,unknown,The phone is in a person's hand so it is not visible.,The person is holding a LG phone.,The person is holding a cell phone and taking a picture.,The phone is a LG.
261603,What does the shadow in the background appear to be doing?,261603000,what does the,other,texting,"('looking at cell phone while walking', 'yes')","('standing', 'yes')","('texting', 'maybe')","('texting', 'yes')","('texting', 'yes')","('texting', 'yes')","('texting', 'yes')","('texting', 'yes')","('texting', 'yes')","('texting', 'yes')",he is holding a phone in his hands,it is looking at a phone.,he's looking down at his phone.,a man is riding a motorcycle,The shadow in the background appears to be riding a motorcycle.,The shadow in the background appears to be texting,The shadow in the background appears to be texting,The man is texting while riding his motorcycle.
314812,What is she doing?,314812001,what is,other,playing wii,"('playing wii', 'yes')","('playing wii', 'yes')","('playing wii', 'yes')","('playing nintendo wii', 'yes')","('playing wii', 'yes')","('playing wii', 'yes')","('playing wii', 'yes')","('playing wii', 'yes')","('playing wii', 'yes')","('playing game', 'yes')",she is holding a wii controller bowling,she has a rectangular controller in her hand.,the woman is moving her arm and body while grasping a game remote connected to a screen,playing a video game,The woman is playing a video game in her living room.,The woman is holding a Nintendo Wii remote.,The woman is playing a video game in her living room.,The woman is playing a video game in her living room.
467197,What is the floor made of?,467197000,what is the,other,wood,"('wood', 'yes')","('wood', 'yes')","('wood', 'yes')","('wood', 'yes')","('wood', 'yes')","('wood', 'yes')","('wood', 'yes')","('wood', 'yes')","('wood', 'yes')","('wood', 'yes')",The wooden planks are an excellent flooring material.,it is brown and has wood markings on it.,wood comes in shades of brown and has grain that can be seen,carpet,The cat is laying on top of a bag.,The cat is laying on top of a backpack.,The cat is laying on top of a bag.,The cat is laying on top of a bag.
530520,What is the man sitting on?,530520006,what is the man,other,grass,"('grass', 'yes')","('grass', 'yes')","('grass', 'yes')","('grass', 'yes')","('ground', 'yes')","('grass', 'yes')","('grass', 'yes')","('grass', 'yes')","('grass', 'yes')","('ground', 'yes')",grass is a soft surface found outdoors,the blades are pointed upwards and they are green.,The man are gathered on a grass field with a laptop.,the ground,The camera perspective of the image is a person sitting on the ground.,The man is sitting on the grass.,The man is sitting on the grass because he is outside.,The man is sitting on the grass because he is outside.
508605,What is the person doing?,508605001,what is the person,other,skateboarding,"('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('walking', 'maybe')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')",he is on top of a board with wheels.,he is leaping into the air on a board.,he is jumping in the air on a skateboard,A skateboarder is doing a trick at night,The skateboarder is doing a trick at night.,The person is skateboarding,The person is skateboarding in the dark.,The person is doing a trick in the air at night.
114579,What is the woman doing?,114579003,what is the woman,other,skiing,"('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')",she is on skis in the snow,she is holding ski poles and wearing skis,she is racing on a pair of skis with poles in her hands,skiing,The woman is skiing with a mascot.,The woman is skiing with a mascot in the background.,The woman is skiing with a mascot.,The woman is skiing with a mascot.
368459,What is this person sitting on?,368459002,what is this,other,ski lift,"('ski lift', 'yes')","('lift', 'yes')","('ski lift', 'yes')","('ski lift', 'yes')","('ski lift', 'maybe')","('ski lift', 'yes')","('moving car', 'yes')","('ski lift', 'maybe')","('chair', 'yes')","('ski lift', 'yes')",Two people on wearing skis are ascending a snow covered hill in a chair.,they are outside over a snowy hill,ski lifts lift people from the bottom of the slope to the top,a ski lift,The person is sitting on a ski lift.,The person is riding a ski lift.,The person is sitting on a ski lift.,The person is sitting on a ski lift.
150989,What kind of scene is this?,150989001,what kind of,other,beach,"('beach', 'maybe')","('beach', 'maybe')","('beach', 'yes')","('beach', 'yes')","('beach', 'yes')","('beach', 'yes')","('lakeside', 'maybe')","('beach', 'yes')","('shoreline', 'yes')","('beach', 'yes')",There is a stretch of sand where the water meets the shore.,people in shorts are standing in the sand as waves lap the shore,everyone is outside along the ocean and standing on the sand.,A group of people walking on the beach.,The people are walking on the beach.,The people are walking on a beach.,The people are walking on the beach.,The people are walking on the beach.
108548,What room is this?,108548002,what room is,other,bathroom,"('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')","('toilet', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')",there is a sink and toilet.,there is a toilet and a bidet along the wall.,"There are toilets on one side, sinks, a mirror, and blow dryer on the wall.",bathroom,The bathroom has two toilets and a sink.,The bathroom has two toilets and a sink.,The bathroom has two toilets and a telephone.,The bathroom has two toilets and a sink.
350721,What sport is the man playing?,350721002,what sport is,other,frisbee,"('ultimate frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')",The man is diving and reaching for a frisbee as another man falls behind him.,he is reaching for a frisbee disc.,the player in blue just dove to catch the white frisbee.,Frisbee,The men are playing frisbee on a grassy field.,The man is playing frisbee on a field at night.,The man is playing frisbee on a grassy field at night.,The men are playing frisbee on a grassy field.
87889,What time of year is this?,87889003,what time,other,winter,"('winter', 'yes')","('winter', 'yes')","('winter', 'yes')","('winter', 'yes')","('winter', 'yes')","('winter', 'yes')","('winter', 'yes')","('winter', 'yes')","('winter', 'yes')","('winter', 'yes')",there is snow on the ground and people are skiing.,white snow is on the ground.,A few inches of snow sits on the ground as two people ski across it.,It is winter,The people are skiing down a snowy trail.,The people are skiing down a snowy hill.,The people are skiing down a snowy path.,The people are skiing down a snowy trail.
355179,What type of video game controller is the girl holding?,355179004,what type of,other,wii,"('wii', 'yes')","('wii', 'yes')","('wii', 'yes')","('wii', 'yes')","('wii', 'yes')","('wi', 'maybe')","('wii', 'yes')","('wii', 'yes')","('wii', 'yes')","('wii', 'yes')",it is a white movement controller.,she is holding a wii controller.,it is a white rectangular controller,Wii remote,The girl is holding a Wii remote.,The girl is holding a wii remote.,The girl is holding a wii remote.,The girl is holding a wii remote.
348447,Where is the picture taken?,348447002,where is the,other,kitchen,"('kitchen', 'yes')","('kitchen', 'yes')","('restaurant kitchen', 'yes')","('commercial kitchen', 'yes')","('kitchen', 'yes')","('kitchen', 'yes')","('kitchen', 'yes')","('kitchen', 'yes')","('kitchen', 'yes')","('kitchen', 'yes')",there are chefs preparing food.,there are cooks and food present.,a chef is preparing food.,a commercial kitchen,The chef is preparing food in a commercial kitchen.,The chef is preparing food in a commercial kitchen.,The chef is preparing food in a large kitchen.,The chef is preparing food in a large kitchen.
156572,Which room is this?,156572002,which,other,living room,"('living room', 'yes')","('living', 'yes')","('living room', 'yes')","('front room', 'maybe')","('game', 'maybe')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')",carpeting is used in living rooms to make it more cozy,the boys are playing video games and there is a couch,The couch sits by the window with an end table beside it.,living room,The boys are playing video games in a living room.,The boys are playing a video game.,The boys are playing a video game in a living room.,The boys are playing video games in a living room.
542681,Who is the car company who sponsors this event?,542681004,who is,other,kia,"('kia', 'yes')","('kia', 'yes')","('kia', 'yes')","('kia', 'yes')","('kia', 'yes')","('kia', 'maybe')","('kia', 'yes')","('kia', 'yes')","('kia', 'yes')","('kia', 'yes')","the sign on the wall says, KIA Motors.",There is a giant kia motors logo posted on the stands.,On the banner are the words KIA MOTOR.,Mercedes,The car company who sponsors this event is Mercedes.,kia is the car company who sponsors this event,The car company who sponsors this event is kia.,The car company who sponsors this event is kia.
458387,Is the water deep?,458387005,is the,yes/no,yes,"('yes', 'maybe')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')",The large sailing ship needs deep water to float.,the harbor needs a deep draft for the large ships,boats can only float in deep water,no,"The boat is floating in the water. The following objects are present: boat, water,",The boat is floating in the water near tall grasses.,The boat is floating in the water.,"The boat is floating in the water. The following objects are present: boat, water,"
40018,Which room is this?,40018002,which,other,living room,"('living', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'maybe')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')","('living room', 'yes')",ample seating lines the wall,decorative trinkets are everywhere surrounding seating,There are many places to sit on either the grey sofa or beige chairs.,living room,The living room has paintings on the wall.,The living room has paintings on the wall.,The living room has paintings on the wall and a couch.,The living room has paintings on the wall.
184698,Is the front giraffe's eyes open or closed?,184698000,is the,other,open,"('open', 'yes')","('open', 'yes')","('close', 'yes')","('open', 'yes')","('open', 'yes')","('open', 'yes')","('open', 'yes')","('open', 'yes')","('open', 'yes')","('open', 'yes')",the eye lids are open and you can see the eye ball.,you can see it's eyeballs.,The lids are not down.,open,The giraffes are looking at each other's heads.,The camera perspective of the image is the giraffe's head.,The giraffes are happy to see each other.,The giraffes are looking at each other's heads.
313359,What breed of horse is this?,313359007,what,other,clydesdale,"('clydesdale', 'yes')","('clydesdale', 'yes')","('clydesdale', 'yes')","('clydesdale', 'yes')","('belgian', 'yes')","('clydesdale', 'yes')","('clydesdale', 'yes')","('royal', 'no')","('clydesdale', 'maybe')","('clydesdale', 'yes')",of the tall height of the horse.,It has thick white fur around its hooves.,it has lots of hair on it hoof area,unknown,The horse is pulling a carriage down the street.,The horse is pulling a carriage down the street.,The horse is pulling a carriage down the street.,The horse is pulling a carriage down the street.
200234,What are the people doing?,200234001,what are the,other,playing frisbee,"('playing frisbee', 'yes')","('playing frisbee', 'yes')","('carrying sandbags', 'maybe')","('playing frisbee', 'yes')","('playing frisbee', 'yes')","('playing frisbee', 'yes')","('playing frisbee', 'maybe')","('collecting rocks', 'maybe')","('dancing', 'yes')","('playing frisbee', 'yes')",He is catching a purple disc between his legs,he is holding a round disc,a boy is standing outdoors with a frisbee in hand.,Throwing a frisbee,The boy is throwing a frisbee at a picnic table.,The people are playing frisbee in the dirt.,The boy is throwing a frisbee.,The boy is throwing a frisbee at a picnic table.
256195,Is the train moving?,256195002,is the,yes/no,yes,"('yes', 'maybe')","('yes', 'yes')","('no', 'maybe')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('no', 'maybe')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')",it is not at the end of the tracks,It has no passengers cars to pick up people.,it is on railroad tracks,no,The train is on the tracks but it is not moving.,The train is on the tracks and is moving.,The train is on the tracks.,The train is on the tracks and it is not moving.
76460,What kind of animals are these?,76460001,what kind of,other,elephants,"('elephants', 'yes')","('elephants', 'yes')","('elephants', 'yes')","('elephants', 'yes')","('elephants', 'yes')","('elephants', 'yes')","('elephants', 'yes')","('elephants', 'yes')","('elephants', 'yes')","('elephants', 'yes')",they have long trunks. big floppy ears and weigh a ton.,They are large with long trunks.,"they are large, gray, wrinkly animals with long trunks",Elephants,The elephants are happy.,The elephants are standing in a grassy field.,The elephants are standing on a grassy field.,The elephants are happy.
543836,What did he most likely fall asleep doing?,543836002,what,other,reading,"('petting cat', 'yes')","('reading', 'yes')","('reading', 'yes')","('reading', 'yes')","('reading', 'yes')","('reading', 'yes')","('reading', 'yes')","('reading', 'maybe')","('reading', 'yes')","('reading', 'yes')",there is a book laying open next to him.,There is a book upside down on the other side of the bed.,There is an opened book next to him.,reading,The man is reading a book.,The man is reading a book.,The man is reading a book.,The man is reading a book.
192406,What type of station is this?,192406000,what type of,other,bus,"('bus', 'yes')","('bus', 'yes')","('bus', 'maybe')","('bus', 'yes')","('bus', 'yes')","('bus', 'yes')","('bus station', 'yes')","('bus', 'yes')","('bus', 'yes')","('bus', 'yes')",There are four buses that look the same and a big building with many people going back and forth.,many people can fit on the vehicle,there are four buses in the parking lot.,bus station,The people are waiting for a bus to take them to the airport.,The people are waiting to board a bus.,The people are waiting to board a bus at an airport.,The people are waiting for a bus to take them to the airport.
262531,What is the man in the hat doing?,262531001,what is the man,other,skateboarding,"('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')","('skateboarding', 'yes')",he's riding on a skateboard,He is bent low atop a board with wheels.,He is riding on a skateboard.,taking pictures,The man in the hat is taking pictures of the skateboarder.,The man in the hat is skateboarding.,The man in the hat is skateboarding down a street.,The man in the hat is skateboarding.
26967,Where was this taken?,26967003,none of the above,other,airport,"('airport', 'yes')","('airport', 'yes')","('airport', 'yes')","('at baggage claim in airport', 'yes')","('airport', 'yes')","('airport', 'yes')","('airport', 'yes')","('airport', 'yes')","('airport', 'yes')","('airport', 'yes')",People are standing around a baggage claim waiting for bags,the people are at a luggage carousel,they are waiting for their luggage to come off the plane.,An airport,The people are waiting for their luggage at the airport.,The people are waiting in line at an airport.,The people are waiting to board a plane.,The people are waiting for their luggage at the airport.
505240,Would a vegetarian eat this?,505240001,none of the above,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",A meatless dish is an excellent choice for a vegetarian.,there is no meat in the dish.,the food in the image is made of vegetables,Yes,The food is broccoli and other vegetables.,The food is vegetarian.,The food is vegetarian.,The food is broccoli and other vegetables.
124116,Does the cat look loved?,124116002,does the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",it is laying in a nice soft bed,Someone made him a bed with a comfortable pillow and sweater.,he is sleeping on a pillow.,Yes,The cat is sleeping on a pillow in a suitcase.,The cat is sleeping in a suitcase with a pillow.,The cat is sleeping on a pink pillow in a suitcase.,The cat is sleeping on a pillow in a suitcase.
297078,What is the person doing?,297078003,what is the person,other,skiing,"('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'maybe')","('downhill skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')","('skiing', 'yes')",the person is using equipment specialized for heading down a snowy slope.,he is holding ski poles and standing on skis on a snowy trail,the person is wearing skis on his feet and holding ski poles while facing a downhill slope.,skiing down a snowy trail,The person is skiing down a snowy trail.,The person is skiing down a snowy hill.,The person is skiing down a snowy path.,The person is skiing down a snowy trail.
