image_id,question,question_id,question_type,answer_type,multiple_choice_answer,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,explanation_1,explanation_2,explanation_3
264423,What are the people doing?,264423001,what are the,other,flying kite,"('watching kite', 'yes')","('kite flying', 'maybe')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')",the string from the kite in the air leads to them.,they are holding a string attached to the kite in the sky.,A device is blowing in the wind and its connected by a string.
69914,What are the people doing?,69914001,what are the,other,cooking,"('cooking', 'maybe')","('cooking', 'yes')","('serving food', 'yes')","('cooking', 'yes')","('cooking', 'yes')","('cooking', 'yes')","('cooking', 'yes')","('cooking', 'yes')","('cooking', 'yes')","('cooking', 'yes')",they are in a kitchen and look to be mixing food.,they are in a kitchen standing over trays of food,The are in a kitchen preparing food.
526778,What is the man wearing on his head?,526778000,what is the man,other,helmet,"('helmet', 'yes')","('helmet', 'yes')","('helmet', 'yes')","('helmet', 'yes')","('helmet', 'yes')","('helmet', 'yes')","('helmet', 'yes')","('helmet', 'yes')","('helmet', 'yes')","('helmet', 'yes')",He is skiing very fast downhill and needs to protect his head.,it is hard and perfectly covers his skull.,He is wearing a red bull helmet skiing.
526962,What type of fruit toy is the cat holding?,526962005,what type of,other,banana,"('banana', 'yes')","('banana', 'yes')","('banana', 'yes')","('banana', 'yes')","('banana', 'yes')","('banana', 'maybe')","('banana', 'yes')","('banana', 'yes')","('banana', 'yes')","('bananas', 'yes')",it is yellow and curved.,it is a yellow curved fruit,It is yellow and curved.
568425,Is one of the signs weathered?,568425003,is,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",The STOP sign is no longer red.,the red on the STOP sign is worn away.,the sign is all faded
527038,Is it raining?,527038001,is it,yes/no,yes,"('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",the people are using umbrellas.,there are droplets in the air.,There is water falling from the sky and a man has an umbrella.
2759,Does that spoon appear tarnished?,2759000,none of the above,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",it is covered in brown.,It is rusted and old-looking.,it has flecks of rust on it.
265063,What is the man doing?,265063005,what is the man,other,riding horse,"('riding horse', 'yes')","('riding horse', 'yes')","('horse riding', 'yes')","('riding horse', 'yes')","('riding horse', 'yes')","('riding horse', 'yes')","('horse riding', 'yes')","('riding horse', 'yes')","('riding', 'yes')","('riding horse', 'yes')",The officers have a great view from on top of their mounts.,he is sitting perched on top of a horse.,He sits on a saddle on a large animal.
134010,Is this a train station?,134010017,is this a,yes/no,no,"('no', 'yes')","('no', 'maybe')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'maybe')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",there is nowhere for people to stand and wait on the train,No platform is visible beside the rails.,no one is standing and waiting for the train
134016,Is the food ready?,134016002,is the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('no', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')",it is all prepared and waiting in dishes,It is nicely presented on bowls and plates.,it is placed in serving bowls and arranged on a table.
396369,Is this someone's home?,396369001,is this,yes/no,yes,"('no', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('no', 'yes')",A family is sitting around enjoying each other's company.,they are at a long table and the child is doing a puzzle on it.,there is a family gathering in the photo.
134288,What kind of fruit is this?,134288004,what kind of,other,orange,"('orange', 'yes')","('orange', 'yes')","('orange', 'yes')","('orange', 'yes')","('orange', 'yes')","('orange', 'yes')","('orange', 'yes')","('orange', 'yes')","('orange', 'yes')","('orange', 'yes')",The fruit is round and orange with a circle on top where the stem goes.,it is round and orange,It is a round citrus produce.
527644,Is that an F-16?,527644001,is,yes/no,yes,"('yes', 'maybe')","('yes', 'maybe')","('yes', 'maybe')","('yes', 'maybe')","('yes', 'no')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('no', 'no')","('yes', 'maybe')",It is a large military plane.,the plane is shaped like an F-16,it has the wings and is doing military training maneuvers.
265725,Is the player right-handed?,265725001,is the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('no', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",His batting stance is for a player who bats with their right hand.,a player is standing in the left-most batter's box.,He holds the bat with his right hand uppermost.
265742,Does this animal have tusks?,265742004,does this,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",it has one tusk on each side of the face.,it is an elephant and the tusks are visible,it is an elephant.
527962,Does this appear to be a noisy environment?,527962001,does this,yes/no,no,"('no', 'no')","('yes', 'maybe')","('no', 'maybe')","('no', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",there are no cars or people on the street,there are no people or cars around.,The street is empty of people
3779,What event is this?,3779000,what,other,wine tasting,"('wine tasting', 'maybe')","('wine tasting', 'yes')","('wine tasting', 'maybe')","('wine tasting', 'yes')","('wine tasting', 'yes')","('wine tasting', 'yes')","('wine tasting', 'maybe')","('wine tasting', 'yes')","('wine tasting', 'maybe')","('wine tasting', 'yes')",there are several different glasses of wine.,a bunch of cups are filled with very little amounts of wine.,there are a lot of wine glasses filled with wine.
134935,What holiday is being portrayed in the picture?,134935003,what,other,christmas,"('christmas', 'yes')","('christmas', 'yes')","('christmas', 'yes')","('christmas', 'maybe')","('christmas', 'yes')","('christmas', 'yes')","('christmas', 'yes')","('christmas', 'yes')","('christmas', 'maybe')","('christmas', 'yes')",there are pine leaves and red decorations.,there are sugar cookies and christmas flowers on a table,the table setting is decorated like Christmas
397279,What sport is the man playing?,397279002,what sport is,other,tennis,"('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')",he is standing on a tennis court swinging a racket.,he is holding a racket on a tennis court waiting for the ball.,"he is on a tennis court, holding a tennis racket."
528525,What is the child holding?,528525001,what is the,other,kite,"('kite', 'yes')","('kite', 'yes')","('kite', 'maybe')","('kite', 'yes')","('kite', 'yes')","('kite', 'yes')","('kite', 'yes')","('kite', 'yes')","('kite', 'yes')","('kite', 'yes')",kites are made of lightweight material strung across a lightweight frame,It is fabric shaped in a triangle.,The flat orange kite is elevated above his head.
284698,Is the road bending to the left or right?,284698001,is the,other,right,"('right', 'yes')","('right', 'yes')","('right', 'yes')","('left', 'yes')","('right', 'yes')","('right', 'yes')","('right', 'yes')","('left', 'yes')","('right', 'yes')","('right', 'yes')",the road curves to the right.,it is bending towards the river on the right.,the path is shifting more to the right.
4551,Is this a celebration?,4551001,is this a,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('maybe', 'maybe')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')",Beautiful kits are flying in the sky at the event.,there are many colorful kites being flown in the sky,there are many people have a great time on the field behind the dinosaur.
4576,Does the weather appear rainy?,4576009,does the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",the sky is dark and dreary.,lots of people are using umbrellas,people are carrying umbrellas
331856,What game are they playing?,331856017,what,other,tennis,"('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'yes')","('tennis', 'maybe')","('tennis', 'yes')","('tennis', 'yes')",A man in shorts is standing on a tennis court holding a racket,The man in the red shorts is carrying a tennis racket on a tennis court.,the man is holding a tennis racket.
135673,Is the sky clear?,135673013,is the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')",The plane can be seen against a bright blue sky.,there are no clouds in the sky.,both planes can be clearly seen
22628,Is this the ocean?,22628003,is this,yes/no,yes,"('no', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",There's a surfer walking along the sand and tide marks on the beach.,there is a large beach before the water,People are carrying surf boards.
135785,Is this a skate park?,135785001,is this a,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('yes', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",The boys are doing skate tricks outside shops that appear to be closed.,there is a bike in the background.,No ramps are visible and it is in front of a building.
266920,What are the zebras furthest to the left doing?,266920005,what are the,other,eating,"('eating', 'yes')","('eating', 'yes')","('standing', 'yes')","('eating', 'maybe')","('eating', 'yes')","('eating', 'yes')","('grazing', 'yes')","('eating', 'yes')","('eating', 'no')","('eating', 'yes')",they are standing in the grass grazing.,They are grazing on grass.,The zebras are bending down while standing together in a grassy field.
44520,What kind of writing is on the signs?,44520000,what kind of,other,graffiti,"('graffiti', 'yes')","('graffiti', 'yes')","('graffiti', 'yes')","('graffiti', 'maybe')","('graffiti', 'yes')","('railway crossing 2 tracks stop', 'yes')","('graffiti', 'yes')","('english', 'yes')","('graffiti', 'yes')","('graffiti', 'maybe')",The words are written in spray paint.,the stop sign has been marked with white paint.,It is written in spray paint.
398222,What holiday is this event celebrating?,398222002,what,other,christmas,"('christmas', 'yes')","('christmas', 'yes')","('christmas', 'maybe')","('christmas', 'yes')","('christmas', 'yes')","('christmas', 'maybe')","('christmas', 'yes')","('christmas', 'yes')","('christmas', 'yes')","('christmas', 'yes')",there are red and green decorations around the table.,a mini Christmas tree design is present.,there are small trees around the house.
571925,What is the animal doing?,571925001,what is the,other,eating,"('eating', 'yes')","('eating', 'yes')","('eating', 'yes')","('eating', 'yes')","('eating', 'yes')","('eating', 'yes')","('eating', 'yes')","('eating', 'yes')","('eating', 'yes')","('eating', 'yes')",he is biting a vine of leaves with his mouth,he is very hungry at the moment.,the giraffe is pulling food from the basket on the pole.
267521,Is this a recent photograph?,267521014,is this a,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('no', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('no', 'yes')","('no', 'maybe')","('yes', 'yes')","('yes', 'maybe')",american airlines is a modern company,there are modern looking airplanes at an airport terminal.,the airplane has the brand American on it.
136533,What type of button is visible?,136533004,what type of,other,power,"('power', 'yes')","('power', 'maybe')","('power', 'maybe')","('power', 'yes')","('power', 'yes')","('power', 'yes')","('computer', 'yes')","('power', 'yes')","('power', 'yes')","('power', 'yes')",it's a large button with a circle on it,it has the usual power logo,it is a round button with a line in the middle
5502,Is this event for adults only?,5502001,is this,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",there are lots of inflatibles that children would enjoy playing on.,there are kids games and kites in the air,even kids can fly a kite.
529806,What sport is this?,529806001,what sport is,other,frisbee,"('ultimate frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'yes')","('frisbee', 'maybe')","('frisbee', 'maybe')","('frisbee', 'yes')","('ultimate frisbee', 'maybe')",The players are running in a field after a disc in the air.,the players are throwing a small disk back and forth.,some people are running after the disc.
547062,What animal is this?,547062001,what animal is,other,dog,"('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","It is a small, furry animal with four legs.",It has a clear muzzle and wagging tail.,It is black and white with a short tail.
136720,What type of animal is destroying the toilet paper?,136720002,what type of,other,dog,"('dog', 'yes')","('dog', 'yes')","('dog', 'maybe')","('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","('dog', 'yes')","('dog', 'maybe')","('dog', 'yes')","('cat', 'yes')","He is black, furry, and has four legs.",it is furry and walks on all fours,"It is very fluffy, and looks like a black terrier."
136722,Is the sky clear?,136722002,is the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",The sky is a crisp blue that isn't blemished by a single wisp of a cloud.,there are no clouds in the sky at all.,It is a uniform blue color.
399178,What sport is this?,399178001,what sport is,other,baseball,"('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')","('baseball', 'yes')",the man is hitting the ball with a bat.,A player in a uniform is swinging a bat.,a hitter is standing on a baseball diamond swinging a bat.
137300,What is the man doing?,137300002,what is the man,other,flying kite,"('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')","('flying kite', 'yes')",he is holding up a kite in the sky.,he is holding a kite by a string.,there is a kite on a string high up in the air.
530520,What is the man sitting on?,530520006,what is the man,other,grass,"('grass', 'yes')","('grass', 'yes')","('grass', 'yes')","('grass', 'yes')","('ground', 'yes')","('grass', 'yes')","('grass', 'yes')","('grass', 'yes')","('grass', 'yes')","('ground', 'yes')",grass is a soft surface found outdoors,the blades are pointed upwards and they are green.,The man are gathered on a grass field with a laptop.
306914,What are the people doing?,306914001,what are the,other,flying kites,"('flying kites', 'yes')","('flying kites', 'yes')","('flying kites', 'yes')","('flying kites', 'yes')","('flying kites', 'yes')","('flying kites', 'yes')","('flying kites', 'yes')","('flying kites', 'yes')","('flying kites', 'yes')","('flying kites', 'yes')",the air is filled with colorful flying objects moored by strings,it is a windy day at the park.,there are a bunch of jellyfish kites above these people.
328777,Is this a Boeing?,328777002,is this a,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",The word is on the side of the plane.,it has a boeing logo on the front of the plane,it is written on the side of the airplane.
530875,Is it night time?,530875000,is it,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",A boy is riding his skateboard under the street lights in the dark,the parking lot lights are on.,the street light is on.
399839,Does the girl have any jewelry on?,399839003,does the,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('no', 'yes')","('yes', 'yes')",she is wearing some earrings.,There is a shiny item in her ear.,she has a diamond ear ring in her ear.
399865,What kind of garage is this?,399865002,what kind of,other,parking,"('parking', 'yes')","('city garage', 'yes')","('parking', 'yes')","('parking', 'yes')","('public', 'yes')","('parking', 'yes')","('parking', 'yes')","('parking', 'yes')","('parking', 'yes')","('parking', 'maybe')",there is a sign saying public parking.,"there are several signs that read ""public parking"".",There is an entrance of the street and a large sign that says PARK
137810,Is this a city street?,137810000,is this a,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')",there are multiple lanes leading to a large intersection,Building are visible on each corner of the intersection.,there are building and sidewalks on every side
531047,Do these people look like they are celebrating a special event?,531047000,do,yes/no,yes,"('yes', 'maybe')","('no', 'maybe')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')",they are holding glasses of champagne and toasting.,The all have glasses of champagne.,they are toasting glasses of champagne.
6771,Is this at an event?,6771003,is this,yes/no,yes,"('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'yes')","('yes', 'yes')","('yes', 'maybe')","('yes', 'maybe')","('yes', 'yes')",There are people gathered in cosplay.,Many people are gathered in costumes.,people are dressed up in costumes.
6818,What room is this?,6818002,what room is,other,bathroom,"('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'maybe')","('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')","('bathroom', 'yes')",there is a shower head and toilet paper holder,there is a toilet on the ground.,there is a hole in the floor to pee into.
137950,Is this a recent photograph?,137950002,is this a,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')",vintage photographs are sepia toned,it is an older looking aircraft and the photo is in black and white.,the picture is black and white and the plane is vintage.
269105,Does the toilet match the wall?,269105002,does the,yes/no,no,"('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('no', 'yes')","('yes', 'yes')","('no', 'yes')","('no', 'yes')","The toilet is white, while the wall is olive green.",the toilet is white and the wall is green.,the wall is green and the toilet isnt.
531286,What is the bus number?,531286006,what is the,number,140,"('140', 'yes')","('475', 'yes')","('140', 'yes')","('475', 'yes')","('140', 'yes')","('140', 'yes')","('140', 'yes')","('140', 'yes')","('140', 'yes')","('40', 'yes')",The bus is emblazoned with it's number in neon to let passengers know where it's going.,there is an electronic display on the front of the bus that shows the number,the electronic sign on the bus says that.
